AvgStoryQ	MinStoryQ	MinCosSim	MinVariance	CCAMatchCount	CCAArtMatchRatio	CCAAvgMatchWgt	CCAAvgCosSim	ConceptCosSim	EntityCosSim	KeywordCosSim	ConceptJaccardSim	EntityJaccardSim	KeywordJaccardSim	TimeDiff	CoreTimeDiff	ExtractedDateJaccardSim	MatchingDateCount	MatchingDateRatio	CategorySim	HasSameLocation	DummyVar	ShouldMerge	Language pair
c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d	string
																						class	meta
9.000	5.000	0.549	0.598	3.000	0.031	42.000	0.653	0.010	0.000	0.018	0.010	0.000	0.017	2.363	4.900	?	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
20.500	11.000	0.716	0.239	17.000	0.279	10.882	0.901	0.080	0.456	0.000	0.041	0.214	0.000	105.782	31.800	0.000	0.000	0.000	0.000	?	1.000	no	deu-spa	
18.500	8.000	0.285	0.299	533.000	0.659	75.520	0.563	0.957	0.996	0.936	0.704	0.857	0.650	1.050	2.567	0.444	1.000	0.475	0.000	?	1.000	yes	eng-eng	
21.000	1.000	0.521	0.233	30.000	0.146	91.633	0.653	0.666	0.665	0.670	0.244	0.194	0.277	12.290	15.650	0.880	1.000	0.900	1.000	?	1.000	yes	eng-eng	
24.500	8.000	0.521	0.233	6.000	0.074	96.333	0.766	0.664	0.442	0.686	0.149	0.190	0.132	43.599	44.967	0.727	1.000	0.686	1.000	?	1.000	yes	eng-eng	
24.000	7.000	0.521	0.233	6.000	0.162	93.000	0.723	0.602	0.598	0.609	0.179	0.182	0.176	0.828	13.167	0.813	1.000	0.900	1.000	?	1.000	yes	eng-eng	
29.500	18.000	0.521	0.233	17.000	0.037	95.706	0.701	0.772	0.784	0.773	0.344	0.368	0.333	52.241	70.167	0.667	1.000	0.678	1.000	?	1.000	yes	eng-eng	
31.500	22.000	0.521	0.233	147.000	0.278	96.082	0.721	0.761	0.863	0.755	0.286	0.313	0.277	108.263	117.517	0.804	1.000	0.803	1.000	?	1.000	yes	eng-eng	
27.000	13.000	0.521	0.233	0.000	0.000	0.000	0.000	0.645	0.477	0.668	0.179	0.114	0.224	61.589	67.500	0.833	1.000	0.900	1.000	?	1.000	yes	eng-eng	
27.000	13.000	0.521	0.233	79.000	0.441	97.595	0.780	0.527	0.316	0.558	0.151	0.182	0.132	109.580	112.517	0.870	1.000	0.900	1.000	?	1.000	yes	eng-eng	
